Image File,Prediction (grid_based),Prediction (object_detection),Prediction (lime_on_image),Prediction (lime_on_latent)
town7_000127.png,GO,STOP,STOP,STOP
town7_000139.png,STOP,GO,STOP,STOP
town7_000218.png,RIGHT,GO,GO,GO
town7_000290.png,LEFT,LEFT,RIGHT,LEFT
town7_000335.png,GO,GO,STOP,GO
town7_000537.png,GO,STOP,GO,STOP
town7_000688.png,STOP,STOP,STOP,GO
town7_000997.png,RIGHT,GO,LEFT,LEFT
town7_001094.png,RIGHT,GO,RIGHT,RIGHT
town7_001387.png,GO,LEFT,,GO
town7_001389.png,GO,RIGHT,,RIGHT
town7_001431.png,GO,GO,,RIGHT
town7_001462.png,GO,STOP,,GO
town7_001636.png,GO,GO,,STOP
town7_001818.png,LEFT,LEFT,,GO
town7_002058.png,LEFT,GO,,LEFT
town7_002396.png,GO,STOP,,STOP
town7_002399.png,STOP,STOP,,GO
town7_002405.png,GO,STOP,,GO
town7_002818.png,RIGHT,RIGHT,,STOP
town7_002892.png,RIGHT,RIGHT,,GO
town7_002899.png,RIGHT,LEFT,,RIGHT
town7_003094.png,STOP,GO,,STOP
town7_003356.png,RIGHT,RIGHT,,GO
town7_003590.png,LEFT,RIGHT,,LEFT
town7_003656.png,STOP,STOP,,LEFT
town7_003658.png,LEFT,LEFT,,STOP
town7_003660.png,LEFT,STOP,,STOP
town7_003684.png,GO,RIGHT,,RIGHT
town7_003798.png,GO,RIGHT,,GO
town7_003897.png,GO,GO,,STOP
town7_004013.png,GO,GO,,RIGHT
town7_004287.png,STOP,GO,,GO
town7_004696.png,LEFT,LEFT,,GO
town7_004759.png,GO,RIGHT,,GO
town7_005094.png,RIGHT,GO,,RIGHT
town7_005124.png,LEFT,RIGHT,,LEFT
town7_005168.png,GO,RIGHT,,RIGHT
town7_005183.png,LEFT,GO,,LEFT
town7_005382.png,GO,RIGHT,,GO
town7_005429.png,GO,RIGHT,,RIGHT
town7_005508.png,RIGHT,GO,,RIGHT
town7_005661.png,LEFT,RIGHT,,LEFT
town7_005955.png,RIGHT,RIGHT,,GO
town7_006017.png,RIGHT,RIGHT,,GO
town7_006096.png,STOP,STOP,,GO
town7_006136.png,GO,STOP,,STOP
town7_006181.png,GO,LEFT,,LEFT
town7_006558.png,GO,RIGHT,,RIGHT
town7_006619.png,GO,GO,,RIGHT
town7_006847.png,GO,LEFT,,GO
town7_006873.png,RIGHT,STOP,,STOP
town7_006875.png,STOP,RIGHT,,STOP
town7_006880.png,STOP,RIGHT,,STOP
town7_006883.png,RIGHT,STOP,,STOP
town7_007016.png,RIGHT,RIGHT,,GO
town7_007127.png,GO,RIGHT,,GO
town7_007129.png,GO,RIGHT,,RIGHT
town7_007241.png,GO,GO,,STOP
town7_007504.png,STOP,STOP,,RIGHT
town7_007505.png,STOP,STOP,,RIGHT
town7_007610.png,GO,RIGHT,,RIGHT
town7_007737.png,LEFT,LEFT,,GO
town7_008831.png,GO,LEFT,,LEFT
town7_008836.png,LEFT,GO,,LEFT
town7_009422.png,GO,LEFT,,GO
town7_009426.png,GO,GO,,LEFT
town7_009429.png,LEFT,GO,,GO
town7_009585.png,GO,GO,,LEFT
town7_009713.png,RIGHT,GO,,GO
town7_009860.png,GO,GO,,STOP
town7_010501.png,GO,STOP,,GO
town7_010840.png,GO,STOP,,STOP
town7_010982.png,LEFT,RIGHT,,RIGHT
town7_011126.png,GO,STOP,,STOP
town7_011179.png,GO,RIGHT,,GO
town7_011531.png,GO,RIGHT,,RIGHT
town7_011539.png,GO,RIGHT,,RIGHT
town7_011545.png,GO,RIGHT,,RIGHT
town7_011855.png,STOP,GO,,STOP
